Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 21:37:34.293,114372.3,0.076,BTCUSDT
2025-09-30 21:37:34.307,114372.3,0.032,BTCUSDT
2025-09-30 21:37:34.307,114372.3,0.5,BTCUSDT
2025-09-30 21:37:34.307,114372.3,0.931,BTCUSDT
2025-09-30 21:37:34.307,114372.3,0.604,BTCUSDT
2025-09-30 21:37:34.750,114372.2,0.019,BTCUSDT
2025-09-30 21:37:34.885,114372.2,0.001,BTCUSDT
2025-09-30 21:37:34.901,114372.3,0.003,BTCUSDT
2025-09-30 21:37:34.960,114372.3,0.001,BTCUSDT
2025-09-30 21:37:35.214,114372.2,0.001,BTCUSDT
2025-09-30 21:37:35.357,114372.3,0.076,BTCUSDT
2025-09-30 21:37:35.506,114372.3,0.002,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.094,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.039,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.043,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.172,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.001,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.002,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.077,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.001,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.017,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.436,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.001,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.001,BTCUSDT
2025-09-30 21:37:35.510,114372.2,1.962,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.069,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.004,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.001,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.004,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.008,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.001,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.033,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.058,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.072,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.174,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.161,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.006,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.004,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.028,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.349,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.004,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.002,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.006,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.003,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.04,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.13,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.006,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.006,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.006,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.065,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.065,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.043,BTCUSDT
2025-09-30 21:37:35.510,114372.2,0.044,BTCUSDT
2025-09-30 21:37:35.513,114372.2,0.043,BTCUSDT
2025-09-30 21:37:35.513,114372.2,0.006,BTCUSDT
2025-09-30 21:37:35.513,114372.2,0.004,BTCUSDT
2025-09-30 21:37:35.513,114372.2,0.002,BTCUSDT
2025-09-30 21:37:35.513,114372.2,0.001,BTCUSDT
2025-09-30 21:37:35.513,114372.2,0.04,BTCUSDT
2025-09-30 21:37:35.515,114372.2,0.02,BTCUSDT
2025-09-30 21:37:35.515,114372.2,0.02,BTCUSDT
2025-09-30 21:37:35.747,114372.2,0.14,BTCUSDT
2025-09-30 21:37:35.760,114372.2,0.003,BTCUSDT
2025-09-30 21:37:35.805,114372.2,0.005,BTCUSDT
2025-09-30 21:37:35.910,114372.3,0.033,BTCUSDT
2025-09-30 21:37:36.204,114372.2,0.109,BTCUSDT
2025-09-30 21:37:36.204,114372.2,0.295,BTCUSDT
2025-09-30 21:37:36.204,114372.2,0.241,BTCUSDT
2025-09-30 21:37:36.362,114372.3,0.076,BTCUSDT
2025-09-30 21:37:36.571,114372.3,0.07,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.274,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.001,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.045,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.218,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.009,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.173,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.003,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.571,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.01,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.002,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.048,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.024,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.005,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.001,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.001,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.013,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.021,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.055,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.279,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.002,BTCUSDT
2025-09-30 21:37:36.895,114372.3,0.002,BTCUSDT
2025-09-30 21:37:36.899,114372.4,0.001,BTCUSDT
2025-09-30 21:37:36.899,114372.4,0.002,BTCUSDT
2025-09-30 21:37:36.899,114372.6,0.002,BTCUSDT
2025-09-30 21:37:36.899,114373.3,0.002,BTCUSDT
2025-09-30 21:37:36.899,114374.1,0.002,BTCUSDT
2025-09-30 21:37:36.899,114375.0,0.002,BTCUSDT
2025-09-30 21:37:36.899,114375.0,0.001,BTCUSDT
2025-09-30 21:37:36.899,114375.6,0.002,BTCUSDT
2025-09-30 21:37:36.899,114375.9,0.001,BTCUSDT
2025-09-30 21:37:36.899,114376.2,0.001,BTCUSDT
2025-09-30 21:37:36.899,114376.4,0.001,BTCUSDT
2025-09-30 21:37:36.899,114376.5,0.001,BTCUSDT
2025-09-30 21:37:36.899,114376.6,0.002,BTCUSDT
